 @OpenWithToastLogo.png                                                 | 0.2 kb
@TileEmpty1x1Image.png                                                 | 0.1 kb
accessibilitycpl.dll                                                   | 3725.0 kb
ACCTRES.dll                                                            | 38.5 kb
acledit.dll                                                            | 10.0 kb
aclui.dll                                                              | 1014.0 kb
acmigration.dll                                                        | 294.0 kb
acppage.dll                                                            | 54.5 kb
acproxy.dll                                                            | 12.0 kb
ActionCenter.dll                                                       | 874.0 kb
ActionCenterCPL.dll                                                    | 533.5 kb
ActionQueue.dll                                                        | 224.5 kb
activeds.dll                                                           | 272.0 kb
activeds.tlb                                                           | 109.0 kb
actxprxy.dll                                                           | 2814.0 kb
adhapi.dll                                                             | 22.5 kb
adhsvc.dll                                                             | 76.0 kb
AdmTmpl.dll                                                            | 569.0 kb
adprovider.dll                                                         | 57.0 kb
adrclient.dll                                                          | 133.0 kb
adsldp.dll                                                             | 268.0 kb
adsldpc.dll                                                            | 245.5 kb
adsmsext.dll                                                           | 101.0 kb
adsnt.dll                                                              | 346.5 kb
adtschema.dll                                                          | 739.0 kb
advapi32.dll                                                           | 669.4 kb
advapi32res.dll                                                        | 2.0 kb
advpack.dll                                                            | 139.5 kb
aecache.dll                                                            | 41.5 kb
aeevts.dll                                                             | 28.5 kb
aeinv.dll                                                              | 665.0 kb
aelupsvc.dll                                                           | 209.5 kb
aepic.dll                                                              | 240.5 kb
AepRoam.dll                                                            | 63.5 kb
aitagent.exe                                                           | 153.5 kb
aitstatic.exe                                                          | 2793.0 kb
alg.exe                                                                | 94.5 kb
AltTab.dll                                                             | 115.5 kb
amcompat.tlb                                                           | 18.0 kb
amdtee_api.dll                                                         | 28.0 kb
amstream.dll                                                           | 98.0 kb
apds.dll                                                               | 261.0 kb
api-ms-win-appmodel-identity-l1-1-0.dll                                | 3.0 kb
api-ms-win-appmodel-runtime-internal-l1-1-0.dll                        | 3.5 kb
api-ms-win-appmodel-runtime-l1-1-0.dll                                 | 3.0 kb
api-ms-win-appmodel-runtime-l1-1-1.dll                                 | 3.5 kb
api-ms-win-appmodel-state-l1-1-0.dll                                   | 4.0 kb
api-ms-win-appmodel-state-l1-1-1.dll                                   | 4.0 kb
api-ms-win-base-bootconfig-l1-1-0.dll                                  | 3.0 kb
api-ms-win-base-util-l1-1-0.dll                                        | 3.0 kb
api-ms-win-core-apiquery-l1-1-0.dll                                    | 2.5 kb
api-ms-win-core-appcompat-l1-1-0.dll                                   | 3.5 kb
